dates,efficiency,asleep_min,awake_min,restless_min,timeInBed
2018-10-08,96.0,347.0,2.0,14.0,363.0
2018-10-09,93.0,337.0,4.0,21.0,362.0
2018-10-10,96.0,417.0,2.0,17.0,437.0
2018-10-11,96.0,417.0,2.0,17.0,437.0
2018-10-12,96.0,508.0,0.0,24.0,532.0
2018-10-13,96.0,417.0,2.0,17.0,437.0
2018-10-14,92.0,284.0,0.0,24.0,308.0
2018-10-15,96.0,415.0,2.0,16.0,433.0
2018-10-16,98.0,428.0,3.0,7.0,438.0
2018-10-17,96.0,417.0,2.0,17.0,437.0
2018-10-18,96.0,417.0,2.0,17.0,437.0
2018-10-19,98.0,399.0,5.0,5.0,409.0
2018-10-20,96.0,438.0,0.0,20.0,458.0
2018-10-21,96.0,424.0,0.0,17.0,441.0
2018-10-22,96.0,417.0,2.0,17.0,437.0
2018-10-23,96.0,417.0,2.0,17.0,437.0
2018-10-24,96.0,417.0,2.0,17.0,437.0
2018-10-25,98.0,326.0,0.0,8.0,334.0
2018-10-26,98.0,454.0,0.0,9.0,463.0
2018-10-27,96.0,417.0,2.0,17.0,437.0
2018-10-28,96.0,444.0,0.0,20.0,464.0
2018-10-29,96.0,422.0,0.0,17.0,439.0
2018-10-30,98.0,408.0,2.0,6.0,416.0
2018-10-31,98.0,444.0,4.0,9.0,457.0
2018-11-01,92.0,133.0,5.0,9.0,147.0
2018-11-01,96.0,443.0,1.0,19.0,463.0
2018-11-02,96.0,417.0,2.0,17.0,437.0
2018-11-03,96.0,417.0,2.0,17.0,437.0
2018-11-04,93.0,409.0,6.0,25.0,440.0
2018-11-05,96.0,417.0,2.0,17.0,437.0
2018-11-06,95.0,352.0,2.0,18.0,372.0
2018-11-06,95.0,352.0,2.0,18.0,372.0
2018-11-07,96.0,467.0,4.0,15.0,486.0
2018-11-08,97.0,320.0,0.0,9.0,329.0
2018-11-09,96.0,417.0,2.0,17.0,437.0
2018-11-10,96.0,417.0,2.0,17.0,437.0
2018-11-11,91.0,456.0,8.0,35.0,499.0
2018-11-12,96.0,417.0,2.0,17.0,437.0
2018-11-13,99.0,426.0,0.0,13.0,439.0
2018-11-14,94.0,422.0,5.0,21.0,448.0
2018-11-15,96.0,363.0,0.0,17.0,380.0
2018-11-16,94.0,420.0,3.0,25.0,448.0
2018-11-17,96.0,417.0,2.0,17.0,437.0
2018-11-18,96.0,417.0,2.0,17.0,437.0
2018-11-19,96.0,417.0,2.0,17.0,437.0
2018-11-20,96.0,417.0,2.0,17.0,437.0
2018-11-21,96.0,373.0,4.0,15.0,392.0
2018-11-22,95.0,559.0,0.0,31.0,590.0
2018-11-23,96.0,417.0,2.0,17.0,437.0
2018-11-24,96.0,79.0,2.0,1.0,82.0
2018-11-25,96.0,417.0,2.0,17.0,437.0
2018-11-26,96.0,417.0,2.0,17.0,437.0
2018-11-27,98.0,429.0,0.0,8.0,437.0
2018-11-28,98.0,434.0,0.0,7.0,441.0
2018-11-29,96.0,436.0,1.0,18.0,455.0
2018-11-30,97.0,411.0,1.0,14.0,426.0
2018-12-01,96.0,417.0,2.0,17.0,437.0
2018-12-02,99.0,481.0,3.0,4.0,488.0
2018-12-03,96.0,417.0,2.0,17.0,437.0
2018-12-04,98.0,396.0,0.0,8.0,404.0
2018-12-05,96.0,417.0,2.0,17.0,437.0
2018-12-06,92.0,56.0,0.0,5.0,61.0
2018-12-06,95.0,395.0,6.0,23.0,424.0
2018-12-06,92.0,56.0,0.0,5.0,61.0
2018-12-06,95.0,395.0,6.0,23.0,424.0
2018-12-07,96.0,402.0,1.0,19.0,422.0
2018-12-08,96.0,417.0,2.0,17.0,437.0
2018-12-09,94.0,337.0,9.0,11.0,357.0
2018-12-10,96.0,417.0,2.0,17.0,437.0
2018-12-11,98.0,416.0,0.0,8.0,424.0
2018-12-12,94.0,404.0,2.0,22.0,428.0
2018-12-13,97.0,459.0,0.0,15.0,474.0
